"id","name","description","category","icon","created_at","english_description","url"
"1","Hunyuan-3D","Generování detailních 3D objektů z textu.","3d","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/blender.svg","""2025-04-27T14:42:39.749Z""","Generating detailed 3D objects from text.","https://www.hunyuan-3d.com/"
"2","Hype3D","Tvorba 3D modelů z 2D obrázků.","3d","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/sketchup.svg","""2025-04-27T14:42:39.749Z""","Creation of 3D models from 2D images.","https://hyper3d.ai/"
"3","Gumloop","Nástroj pro tvorbu vlastních AI agentů z existujících workflow.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","Tool for creating custom AI agents from existing workflows.","https://gumloop.com/"
"4","Runbear","AI agenti připravení pro Slack a Teams během několika minut.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","AI agents ready for Slack and Teams in just a few minutes.","https://runbear.io/"
"5","Relevance AI","No-code platforma pro správu týmu AI agentů.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","No-code platform for managing a team of AI agents.","https://relevanceai.com/"
"6","Simular","AI agent, který využívá počítač jako člověk.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","AI agent that uses a computer like a human.","https://www.simular.ai/"
"7","Suna","AI agent, který se chová jako virtuální zaměstnanec.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","AI agent that behaves like a virtual employee.","https://www.suna.so/"
"8","Synthesia","Tvorba videí s realistickými AI avatary z textu.","avatar","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.749Z""","Creating videos with realistic AI avatars from text.","https://www.synthesia.io/"
"9","Heygen","Rychlá tvorba brandovaných video avatarů.","avatar","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.749Z""","Quick creation of branded video avatars.","https://www.heygen.com/"
"10","Skyreels","Nástroj na tvorbu videí z nápadu na kliknutí.","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.749Z""","Tool for creating videos from an idea with a click.","https://www.skyreels.ai/"
"11","TwelveLabs","AI analýza obsahu videí (obraz i zvuk).","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.749Z""","AI analysis of video content (image and sound).","https://www.twelvelabs.io/"
"12","Make","Platforma pro vizuální tvorbu automatizací bez kódování.","utility","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zapier.svg","""2025-04-27T14:42:39.749Z""","Platform for visual creation of automations without coding.","https://www.make.com/"
"13","Zapier","Automatizace a propojení aplikací bez potřeby IT znalostí.","utility","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zapier.svg","""2025-04-27T14:42:39.749Z""","Automation and integration of applications without IT knowledge.","https://zapier.com/"
"14","Relay","AI agenti pro integraci a správu nástrojů.","utility","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zapier.svg","""2025-04-27T14:42:39.749Z""","AI agents for tool integration and management.","https://relay.app/"
"15","FloraFauna AI","Nekonečné plátno pro kreativní práci s AI modely.","design","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/blender.svg","""2025-04-27T14:42:39.749Z""","Infinite canvas for creative work with AI models.","https://www.florafauna.ai/"
"16","Canva","Online grafický editor s AI funkcemi.","design","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/canva.svg","""2025-04-27T14:42:39.749Z""","Online graphic editor with AI features.","https://www.canva.com/"
"17","Comfy Workflows","Automatizace kreativních AI procesů.","design","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/blender.svg","""2025-04-27T14:42:39.749Z""","Automation of creative AI processes.","https://comfyworkflows.com/workflows"
"18","Bardeen","Automatizace GTM úkolů pomocí AI playbooků.","communication","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/buffer.svg","""2025-04-27T14:42:39.749Z""","Automation of GTM tasks using AI playbooks.","https://www.bardeen.ai/"
"19","Phantombuster","Scraping dat ze sociálních sítí pro lead generation.","communication","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/buffer.svg","""2025-04-27T14:42:39.749Z""","Scraping data from social networks for lead generation.","https://phantombuster.com/"
"20","ChatGPT","Multimodální AI asistent pro široké použití.","chatbot","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/openai.svg","""2025-04-27T14:42:39.749Z""","Multimodal AI assistant for wide usage.","https://chat.openai.com/"
"21","Claude","Bezpečný podnikový AI asistent pro firmy.","chatbot","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/anthropic.svg","""2025-04-27T14:42:39.781Z""","Secure enterprise AI assistant for companies.","https://claude.ai/"
"22","Gemini","AI nástroj od Googlu pro psaní, plánování a asistenci.","chatbot","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/google.svg","""2025-04-27T14:42:39.781Z""","AI tool from Google for writing, planning, and assistance.","https://gemini.google.com/"
"23","Microsoft Copilot","AI asistent integrovaný v Microsoft 365 aplikacích.","chatbot","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/microsoft.svg","""2025-04-27T14:42:39.781Z""","AI assistant integrated in Microsoft 365 applications.","https://copilot.microsoft.com/"
"24","NotebookLM","AI nástroj na shrnutí a vysvětlení podkladů.","chatbot","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/googlecolab.svg","""2025-04-27T14:42:39.781Z""","AI tool for summarizing and explaining materials.","https://notebooklm.google.com/"
"25","Ideogram","Generování originálních obrázků podle zadání.","photography","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/leonardo.svg","""2025-04-27T14:42:39.781Z""","Generation of original images based on prompts.","https://ideogram.ai/"
"26","Photoroom","Profesionální úpravy fotografií a mazání pozadí.","photography","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobephotoshop.svg","""2025-04-27T14:42:39.781Z""","Professional photo editing and background removal.","https://www.photoroom.com/"
"27","ChatGPT 4o","Přesné multimodální generování obrázků pomocí AI.","photography","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/openai.svg","""2025-04-27T14:42:39.781Z""","Precise multimodal image generation using AI.","https://chat.openai.com/"
"28","ElevenLabs","Hi-fi vícejazyčný převod textu na řeč a klonování hlasu.","audio","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/audiomack.svg","""2025-04-27T14:42:39.781Z""","Hi-fi multilingual text-to-speech and voice cloning.","https://elevenlabs.io/"
"29","Play.ht","Přirozené generování dabingu z textu během minut.","audio","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/audiomack.svg","""2025-04-27T14:42:39.781Z""","Natural dubbing generation from text in minutes.","https://play.ht/"
"30","Speechify","Rychlé převádění textu na mluvené slovo.","audio","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/audible.svg","""2025-04-27T14:42:39.781Z""","Quick conversion of text to spoken word.","https://speechify.com/"
"31","Relume","Automatická tvorba webových wireframů pomocí AI.","ux","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/figma.svg","""2025-04-27T14:42:39.781Z""","Automatic creation of web wireframes using AI.","https://relume.io/"
"32","UX Pilot","AI podpora pro UX výzkum, design a validaci.","ux","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/figma.svg","""2025-04-27T14:42:39.781Z""","AI support for UX research, design, and validation.","https://uxpilot.ai/"
"33","Vapi.ai","API pro tvorbu hlasových telefonních agentů.","audio","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/googleassistant.svg","""2025-04-27T14:42:39.781Z""","API for creating voice telephone agents.","https://www.vapi.ai/"
"34","Hume.ai","TTS s kontrolou emocí v hlase.","audio","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/googleassistant.svg","""2025-04-27T14:42:39.781Z""","TTS with emotion control in voice.","https://www.hume.ai/"
"35","ElevenLabs","Telefonní hlasoví boti na bázi AI hlasů.","audio","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/audiomack.svg","""2025-04-27T14:42:39.781Z""","Telephone voice bots based on AI voices.","https://elevenlabs.io/"
"36","Synthflow","Tvorba AI telefonních agentů bez kódování.","audio","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/googleassistant.svg","""2025-04-27T14:42:39.781Z""","Creating AI telephone agents without coding.","https://synthflow.ai/"
"37","Hyperbrowser","Škálovatelné bezhlavé prohlížeče pro AI agenty.","infrastructure","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/docker.svg","""2025-04-27T14:42:39.781Z""","Scalable headless browsers for AI agents.","https://www.hyperbrowser.ai/"
"38","TheAgentic","Automatizace v prohlížeči pomocí AI agentů.","infrastructure","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/docker.svg","""2025-04-27T14:42:39.781Z""","Browser automation using AI agents.","https://www.theagentic.ai/"
"39","WorkflowAI","Open-source platforma pro tvorbu AI funkcí.","ai","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/openai.svg","""2025-04-27T14:42:39.781Z""","Open-source platform for creating AI functions.","https://workflowai.com/"
"40","Langfuse","Monitoring a optimalizace LLM pipeline.","ai","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/langchain.svg","""2025-04-27T14:42:39.781Z""","Monitoring and optimization of LLM pipeline.","https://langfuse.com/"
"41","Chroma","Vektorová databáze pro AI vyhledávání.","ai","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/mongodb.svg","""2025-04-27T14:42:39.802Z""","Vector database for AI search.","https://trychroma.com/"
"42","LlamaIndex","Framework pro znalostní AI agenty.","ai","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/llvm.svg","""2025-04-27T14:42:39.802Z""","Framework for knowledge AI agents.","https://www.llamaindex.ai/"
"43","Agno","Framework pro multimodální AI agenty.","ai","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/tensorflow.svg","""2025-04-27T14:42:39.802Z""","Framework for multimodal AI agents.","https://www.agno.com/"
"44","Superface","Propojení AI agentů s externími nástroji.","ai","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/fastapi.svg","""2025-04-27T14:42:39.802Z""","Connecting AI agents with external tools.","https://superface.ai/"
"45","Replicate","Spouštění a ladění AI modelů přes API.","ai","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/docker.svg","""2025-04-27T14:42:39.802Z""","Running and fine-tuning AI models via API.","https://replicate.com/"
"46","TurboScribe","Přesné neomezené přepisy zvukových nahrávek.","transcription","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/googlecloud.svg","""2025-04-27T14:42:39.802Z""","Accurate unlimited transcriptions of audio recordings.","https://turboscribe.ai/"
"47","Microsoft Word","Vestavěné nahrávání a živý přepis do textu.","transcription","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/microsoftword.svg","""2025-04-27T14:42:39.802Z""","Built-in recording and live transcription to text.","https://www.microsoft.com/en-us/microsoft-365/word"
"48","TLDV","Přepisy, shrnutí a koučink hovorů pomocí AI.","transcription","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zoom.svg","""2025-04-27T14:42:39.802Z""","Transcriptions, summaries, and call coaching using AI.","https://tldv.io/"
"49","Fireflies","Přepis, analýza a shrnutí meetingů.","transcription","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zoom.svg","""2025-04-27T14:42:39.802Z""","Transcription, analysis, and summarization of meetings.","https://fireflies.ai/"
"50","Plaud","Nositelný mikrofon pro přepis a shrnutí konverzací.","transcription","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zoom.svg","""2025-04-27T14:42:39.802Z""","Wearable microphone for transcription and summarization of conversations.","https://plaud.ai/"
"51","Gamma","Tvorba prezentací a webů poháněná AI.","presentation","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/slides.svg","""2025-04-27T14:42:39.802Z""","AI-powered creation of presentations and websites.","https://gamma.app/"
"52","Plus AI","Generování a úpravy slidů v Google Slides a PowerPointu.","presentation","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/microsoftpowerpoint.svg","""2025-04-27T14:42:39.802Z""","Generation and editing of slides in Google Slides and PowerPoint.","https://plusai.com/"
"53","Bolt","Vytváření a spouštění full-stack aplikací přímo z promptu.","programming","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/lightning.svg","""2025-04-27T14:42:39.802Z""","Creating and running full-stack applications directly from a prompt.","https://bolt.new/"
"54","Lovable","Tvorba aplikací pomocí AI chat-engineera.","programming","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/codepen.svg","""2025-04-27T14:42:39.802Z""","Creating applications using an AI chat engineer.","https://lovable.dev/"
"55","Macaly","Hlasový agent pro rychlou tvorbu a nasazení kódu.","programming","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/gitpod.svg","""2025-04-27T14:42:39.802Z""","Voice agent for quick code creation and deployment.","https://macaly.com/"
"56","Replit","Vývoj, testování a nasazení aplikací pomocí AI.","programming","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/replit.svg","""2025-04-27T14:42:39.802Z""","Development, testing, and deployment of applications using AI.","https://replit.com/"
"57","Firecrawl","API pro scraping webu bez potřeby konfigurace.","data","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/datadog.svg","""2025-04-27T14:42:39.802Z""","API for web scraping without configuration.","https://www.firecrawl.dev/"
"58","Apify","Marketplace skriptů a nástrojů pro scraping.","data","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/databricks.svg","""2025-04-27T14:42:39.802Z""","Marketplace of scripts and tools for scraping.","https://apify.com/"
"59","Browse.ai","No-code scraping a monitoring webových stránek.","data","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/datadog.svg","""2025-04-27T14:42:39.802Z""","No-code scraping and monitoring of websites.","https://www.browse.ai/"
"60","Exa","AI vyhledávač s citacemi pro pokročilý výzkum.","data","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/elastic.svg","""2025-04-27T14:42:39.802Z""","AI search engine with citations for advanced research.","https://exa.ai"
"61","Google Vids","AI editor pro přeměnu textu na video.","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/youtube.svg","""2025-04-27T14:42:39.826Z""","AI editor for transforming text into video.","https://workspace.google.com/products/vids/"
"62","Clipchamp","Webový HD editor videa zdarma.","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/microsoftoffice.svg","""2025-04-27T14:42:39.826Z""","Free web-based HD video editor.","https://www.microsoft.com/en-us/microsoft-365/clipchamp"
"63","Descript","Editace videa jako textového dokumentu pomocí AI.","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/audacity.svg","""2025-04-27T14:42:39.826Z""","Editing video as a text document using AI.","https://www.descript.com/"
"64","Captions","AI nástroje pro tvorbu mluvících videí.","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.826Z""","AI tools for creating talking videos.","https://captions.ai/"
"65","Opus Clip","Přeměna dlouhých videí na krátké virální klipy.","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.826Z""","Transforming long videos into short viral clips.","https://opus.pro/"
"66","Firebase","Backendová platforma s integrovanými generativními AI službami.","development","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/firebase.svg","""2025-04-27T14:42:39.826Z""","Backend platform with integrated generative AI services.","https://firebase.google.com/"
"67","Flowise AI","Low-code editor workflowů pro jazykové modely.","development","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/vercel.svg","""2025-04-27T14:42:39.826Z""","Low-code workflow editor for language models.","https://flowiseai.com/"
"68","Streamlit","Rychlá tvorba interaktivních datových aplikací.","development","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/streamlit.svg","""2025-04-27T14:42:39.826Z""","Rapid creation of interactive data applications.","https://streamlit.io/"
"69","Chatbase","AI chatbot trénovaný na vlastních datech.","support","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/livechat.svg","""2025-04-27T14:42:39.826Z""","AI chatbot trained on your own data.","https://www.chatbase.com/"
"70","Intercom FIN","AI podpora na úrovni lidského agenta.","support","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/intercom.svg","""2025-04-27T14:42:39.826Z""","AI support at the level of a human agent.","https://www.intercom.com/fin"
"71","Shipable","No-code platforma pro tvorbu help-desk botů.","support","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/livechat.svg","""2025-04-27T14:42:39.826Z""","No-code platform for creating help-desk bots.","https://www.shipable.ai/"
"72","Higgsfield AI","Platforma pro AI generování videí a obrázků s pokročilými efekty.","video-automation","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-11-05T11:31:55.024Z""","Platform for AI video and image generation with advanced effects.","https://higgsfield.ai/"
"73","Runway ML","Pokročilé AI nástroje pro tvorbu a editaci videa.","video-automation","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-11-05T11:31:55.024Z""","Advanced AI tools for video creation and editing.","https://runwayml.com/"
"74","Kling AI","AI generování videí s vysokou kvalitou.","video-automation","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-11-05T11:31:55.024Z""","High-quality AI video generation.","https://klingai.com/"
"75","Replicate","Platforma pro spouštění AI modelů přes API.","video-automation","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/docker.svg","""2025-11-05T11:31:55.024Z""","Platform for running AI models via API.","https://replicate.com/"